term,definition,example,category,japanese
abandon,to leave a place or person permanently,They had to abandon the car in the flood.,Verbs,放棄する・見捨てる
accomplish,to succeed in doing something difficult,She accomplished her dream of studying abroad.,Verbs,達成する
adapt,to change your behaviour to suit a new situation,It takes time to adapt to a new culture.,Verbs,順応する
collaborate,to work together with other people on something,The students collaborated on the group project.,Verbs,協力する
communicate,to share information or ideas with someone,It is important to communicate clearly at work.,Verbs,伝達する
hesitate,to pause before doing something because you are unsure,Do not hesitate to ask for help.,Verbs,ためらう
negotiate,to discuss something until you reach an agreement,They negotiated the price for over an hour.,Verbs,交渉する
persuade,to make someone agree to do something by giving reasons,She persuaded her friend to join the club.,Verbs,説得する
ambitious,wanting to be very successful in life,She is very ambitious and works extremely hard.,Adjectives,野心的な・志の高い
cautious,careful to avoid danger or problems,He was cautious when crossing the busy road.,Adjectives,用心深い
confident,feeling sure about your own abilities,She felt confident before her interview.,Adjectives,自信がある
diligent,working carefully and never giving up,A diligent student always completes their homework.,Adjectives,勤勉な
genuine,real and sincere and not pretending,His smile was genuine and very warm.,Adjectives,本物・純正
resourceful,good at finding clever ways to solve problems,She was resourceful and fixed the problem quickly.,Adjectives,資源が豊富な
achievement,something difficult that you have successfully done,Winning the scholarship was a great achievement.,Nouns,成果
challenge,a difficult situation that tests your ability,Learning a new language is a big challenge.,Nouns,挑戦
opportunity,a chance to do something you want to do,Studying abroad is a wonderful opportunity.,Nouns,機会
perspective,a way of thinking about or understanding something,Travel gives you a new perspective on life.,Nouns,視点
strategy,a plan you make to achieve a goal,What is your strategy for passing the exam?,Nouns,戦略
take advantage of,to use a good situation to get a benefit for yourself,Take advantage of every learning opportunity.,Phrases,うまく活かす
keep in mind,to remember an important fact or detail,Keep in mind that the exam is next Friday.,Phrases,心に留めておく・覚えておく
make progress,to improve or develop in skill or knowledge,You are making great progress with your English.,Phrases,進歩する
on the other hand,used to introduce a different or opposite idea,I like the city. On the other hand it is very expensive.,Phrases,一方で
